PianoKey,319.50(639),344.00(172),370.50(741),396.00(396),417.00(417),426.00(852),468.00(936),528.00(528),570.00(285)
1,19.9688,21.5000,23.1563,24.7500,26.0625,26.6250,29.2500,33.0000,35.6250
2,21.1562,22.7785,24.5332,26.2217,27.6123,28.2082,30.9893,34.9623,37.7434
3,22.4142,24.1329,25.9920,27.7809,29.2542,29.8856,32.8320,37.0412,39.9877
4,23.7470,25.5680,27.5376,29.4329,30.9937,31.6626,34.7843,39.2438,42.3655
5,25.1590,27.0883,29.1750,31.1830,32.8367,33.5454,36.8527,41.5774,44.8847
6,26.6551,28.6991,30.9099,33.0373,34.7893,35.5401,39.0441,44.0497,47.5537
7,28.2401,30.4056,32.7479,35.0018,36.8579,37.6534,41.3657,46.6690,50.3814
8,29.9193,32.2136,34.6952,37.0831,39.0496,39.8924,43.8255,49.4441,53.3772
9,31.6984,34.1291,36.7583,39.2882,41.3716,42.2646,46.4315,52.3842,56.5512
10,33.5833,36.1585,38.9440,41.6244,43.8317,44.7777,49.1924,55.4992,59.9139
11,35.5803,38.3086,41.2597,44.0995,46.4381,47.4404,52.1176,58.7993,63.4765
12,37.6960,40.5866,43.7132,46.7218,49.1994,50.2613,55.2166,62.2957,67.2510
13,39.9375,43.0000,46.3125,49.5000,52.1250,53.2500,58.5000,66.0000,71.2500
14,42.3123,45.5569,49.0664,52.4434,55.2245,56.4164,61.9786,69.9246,75.4867
15,44.8283,48.2659,51.9840,55.5619,58.5083,59.7711,65.6640,74.0825,79.9754
16,47.4940,51.1359,55.0752,58.8658,61.9874,63.3253,69.5686,78.4877,84.7310
17,50.3181,54.1766,58.3501,62.3661,65.6734,67.0908,73.7054,83.1548,89.7694
18,53.3102,57.3981,61.8198,66.0746,69.5785,71.0802,78.0881,88.0994,95.1073
19,56.4802,60.8112,65.4958,70.0036,73.7159,75.3069,82.7315,93.3381,100.7630
20,59.8386,64.4272,69.3903,74.1662,78.0993,79.7849,87.6510,98.8883,106.7540
21,63.3968,68.2582,73.5165,78.5764,82.7433,84.5291,92.8630,104.7680,113.1020
